alarm_id,incident_description,network_region,technology_type,severity,outage_duration,device_vendor,resolution_notes,timestamp,service_impact,alarm_type,affected_subscribers,resolution_time_minutes,recurrence_count
ALM-2023-00031,PTP/IEEE-1588 grandmaster clock failure in West synchronization hierarchy. Holdover mode activated on 31 slave clocks. Phase error accumulating at 44 ns/s. 5G NR TDD frame alignment at risk after 31 minutes without reference.,West,4G-LTE,P4-Low,20,Juniper,Rolled back firmware to previous stable version 23.Q4. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-01-24T15:12:39,"Emergency Services, SMS",Transport Failure,21138,31,8
ALM-2023-00147,Fiber cut on backbone ring between West hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 400ms additional latency. 3 enterprise circuits and 98786 mobile subscribers affected on dependent transport.,South,3G-UMTS,P1-Critical,158,Huawei,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-01-24T16:23:08,"Voice Calls, Roaming Services, VoLTE",Software Bug,16622,438,1
ALM-2024-00326,Massive MIMO antenna tilt misconfiguration on 11 sector sites in South. SINR degraded by 2 dB causing uplink interference. Capacity reduced by 40% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,South,SD-WAN,P2-High,19,Ericsson,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-01-27T04:29:33,"Roaming Services, Video Streaming, SMS",Capacity Overload,100388,56,2
ALM-2025-00452,Submarine cable EDFA failure causing signal degradation on Central international link. Capacity reduced from 143Gbps to 43Gbps. Traffic rerouted via alternate cable system with 472ms additional round-trip delay.,Central,SD-WAN,P1-Critical,221,Nokia,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-01-28T05:33:51,"Data Sessions, Video Streaming",Config Error,11576,267,6
ALM-2023-00042,Massive MIMO antenna tilt misconfiguration on 2 sector sites in Central. SINR degraded by 8 dB causing uplink interference. Capacity reduced by 34% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,Central,4G-LTE,P4-Low,58,Nokia,Applied emergency hotfix patch HF-9340 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2023-01-28T18:17:57,"VoLTE, IoT Connectivity, Roaming Services",Authentication Failure,2508,108,0
ALM-2024-00386,N2/N3 interface congestion between North gNBs and AMF cluster. 7 sites showing SCTP association failures. Emergency handover to 4G-LTE fallback activated. Traffic load balancing misconfiguration identified as probable cause.,Central,5G-NR,P2-High,179,Huawei,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-02-01T10:25:33,"SMS, Video Streaming",Sync Loss,24467,365,8
ALM-2024-00295,N2/N3 interface congestion between West gNBs and AMF cluster. 18 sites showing SCTP association failures. Emergency handover to 4G-LTE fallback activated. Traffic load balancing misconfiguration identified as probable cause.,South,MPLS,P1-Critical,28,Juniper,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-02-02T08:00:50,IoT Connectivity,Software Bug,85033,81,0
ALM-2025-00443,ISIS adjacency loss between West P-routers after planned IOS-XR upgrade. SPF recalculation loop detected causing micro-burst packet loss. ECMP paths became unequal triggering traffic imbalance across 8 interfaces.,West,Fiber,P2-High,72,Juniper,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-02-04T09:21:07,"Enterprise VPN, VoLTE",Power Failure,58437,150,0
ALM-2023-00039,Power supply unit failure in East outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 352 hours caused site blackout. 48 collocated operators affected. TSSR dispatched for emergency repair.,Central,Fiber,P2-High,169,Juniper,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-02-04T11:53:29,"SMS, Video Streaming",Power Failure,132830,277,1
ALM-2024-00379,Battery backup degradation on 23 North BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,West,MPLS,P3-Medium,107,Ericsson,Applied emergency hotfix patch HF-1637 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2023-02-05T18:06:55,"Video Streaming, VoLTE",Interference,25989,218,5
ALM-2024-00348,LTE PDCP integrity protection mismatch on Nokia eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 12 cells impacted in West. Hotfix deployment required to restore normal operations.,West,MPLS,P1-Critical,225,Nokia,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-02-07T21:11:50,"Voice Calls, Roaming Services, Enterprise VPN",Transport Failure,22776,405,0
ALM-2024-00294,CSFB (Circuit Switched Fallback) failure rate spike in Central — 69% failure observed. MSC-S unreachable from 10 eNodeBs due to SS7 link congestion. Voice call setup failure affected 1483 subscribers during peak hours.,Central,3G-UMTS,P1-Critical,190,Nokia,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-02-08T14:17:34,IoT Connectivity,Config Error,15700,407,2
ALM-2023-00001,Fiber cut on backbone ring between North hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 314ms additional latency. 14 enterprise circuits and 93899 mobile subscribers affected on dependent transport.,Central,3G-UMTS,P2-High,158,Ericsson,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-02-11T15:13:27,"SMS, Data Sessions",Config Error,134512,228,6
ALM-2024-00206,Line card failure on Nokia core router in South data center. Module 9/3 ejected due to ASIC thermal runaway at 106°C. Traffic failover to redundant linecard triggered 211ms packet loss event.,North,3G-UMTS,P2-High,16,Cisco,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-02-17T07:42:40,"Voice Calls, Roaming Services",Link Down,103527,42,1
ALM-2023-00141,Segment routing MPLS path computation failure in South SR-TE domain. PCE-server connectivity lost due to TLS certificate expiry. 29 critical traffic classes losing QoS guarantees. Enterprise SLA breached.,West,4G-LTE,P2-High,157,Ericsson,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 6 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 448 minutes.,2023-02-19T19:11:54,"SMS, VoLTE",Link Down,76374,161,1
ALM-2023-00194,Fiber cut on backbone ring between Central hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 118ms additional latency. 5 enterprise circuits and 67535 mobile subscribers affected on dependent transport.,East,SD-WAN,P2-High,156,Juniper,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-02-20T05:49:17,"Emergency Services, Voice Calls",Config Error,109958,354,8
ALM-2023-00181,Fiber cut on backbone ring between West hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 195ms additional latency. 37 enterprise circuits and 71856 mobile subscribers affected on dependent transport.,South,3G-UMTS,P3-Medium,113,Huawei,Rolled back firmware to previous stable version 23.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-02-24T19:37:17,"Data Sessions, Emergency Services, SMS",Capacity Overload,88068,139,2
ALM-2023-00089,BGP route policy misconfiguration in Central caused 3K prefixes to be inadvertently withdrawn. Internet traffic blackholed for 401 minutes. Customer escalations: 26145 broadband users reported total connectivity loss.,South,MPLS,P3-Medium,106,Huawei,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 3 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 121 minutes.,2023-03-02T07:00:57,"IoT Connectivity, Enterprise VPN, Voice Calls",Software Bug,68327,318,5
ALM-2024-00261,CU-DU functional split failure on 18 distributed 5G nodes in West. F1 interface went down due to transport network IP route withdrawal. Mid-haul link between CU and DU lost for 90 minutes causing complete service disruption.,East,SD-WAN,P4-Low,58,Ericsson,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-03-02T21:30:46,"Voice Calls, Data Sessions",Link Down,12301,119,5
ALM-2023-00080,Battery backup degradation on 6 North BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,South,Fiber,P1-Critical,168,Juniper,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-03-08T17:34:14,Roaming Services,Authentication Failure,147240,195,8
ALM-2023-00145,CSFB (Circuit Switched Fallback) failure rate spike in East — 73% failure observed. MSC-S unreachable from 35 eNodeBs due to SS7 link congestion. Voice call setup failure affected 125366 subscribers during peak hours.,East,3G-UMTS,P2-High,157,Cisco,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-03-10T22:04:02,"IoT Connectivity, Enterprise VPN, Emergency Services",Authentication Failure,69871,396,1
ALM-2023-00086,Incorrect ACL configuration pushed to 25 Juniper routers in West via automated provisioning. Management plane traffic blocked causing loss of visibility to 25 network elements. Emergency rollback executed via out-of-band console access.,Central,3G-UMTS,P2-High,41,Juniper,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-03-12T12:45:10,"Voice Calls, IoT Connectivity, Data Sessions",Hardware Failure,138036,96,1
ALM-2024-00324,X2 handover failures between North eNodeBs and neighboring cluster. Inter-eNB handover success rate dropped to 83%. Ping-pong handover storms observed. SON algorithm override required to stabilize mobility parameters.,West,4G-LTE,P3-Medium,58,Huawei,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-03-14T23:08:14,IoT Connectivity,Link Down,75148,148,4
ALM-2023-00069,CU-DU functional split failure on 11 distributed 5G nodes in East. F1 interface went down due to transport network IP route withdrawal. Mid-haul link between CU and DU lost for 58 minutes causing complete service disruption.,Central,5G-NR,P3-Medium,62,Cisco,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-03-18T11:30:05,"IoT Connectivity, Enterprise VPN",Hardware Failure,44640,67,4
ALM-2023-00032,MPLS LDP session flap on core router in West causing traffic blackhole for 456 minutes. 10 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,South,3G-UMTS,P4-Low,10,Juniper,Rolled back firmware to previous stable version 21.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-03-23T10:07:15,Data Sessions,Power Failure,1890,22,5
ALM-2023-00149,Incorrect ACL configuration pushed to 33 Juniper routers in Central via automated provisioning. Management plane traffic blocked causing loss of visibility to 33 network elements. Emergency rollback executed via out-of-band console access.,South,3G-UMTS,P4-Low,49,Ericsson,Rolled back firmware to previous stable version 23.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-03-24T03:18:38,"Data Sessions, Video Streaming, Voice Calls",Interference,4019,49,4
ALM-2025-00497,MPLS LDP session flap on core router in Central causing traffic blackhole for 162 minutes. 38 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,East,5G-NR,P1-Critical,182,Cisco,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-03-25T10:11:05,"Voice Calls, SMS, Video Streaming",Software Bug,47985,285,4
ALM-2024-00306,CU-DU functional split failure on 8 distributed 5G nodes in Central. F1 interface went down due to transport network IP route withdrawal. Mid-haul link between CU and DU lost for 231 minutes causing complete service disruption.,East,Fiber,P4-Low,50,Nokia,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-03-28T16:28:12,"Data Sessions, Enterprise VPN",Software Bug,4948,121,5
ALM-2023-00139,X2 handover failures between North eNodeBs and neighboring cluster. Inter-eNB handover success rate dropped to 46%. Ping-pong handover storms observed. SON algorithm override required to stabilize mobility parameters.,North,MPLS,P4-Low,55,Huawei,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-03-31T01:12:29,VoLTE,Link Down,7025,55,4
ALM-2024-00342,BGP route policy misconfiguration in Central caused 45K prefixes to be inadvertently withdrawn. Internet traffic blackholed for 379 minutes. Customer escalations: 19211 broadband users reported total connectivity loss.,East,5G-NR,P1-Critical,113,Juniper,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-04-03T23:12:38,Emergency Services,Config Error,54074,127,7
ALM-2024-00301,Core network signaling storm from 15 IoT devices in West entering simultaneous TAU cycles. MME/AMF overloaded causing 75% attach rejection rate. Emergency rate limiting applied to prevent total core collapse.,Central,MPLS,P3-Medium,38,Huawei,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 9 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 349 minutes.,2023-04-08T11:49:38,Roaming Services,Hardware Failure,84953,66,8
ALM-2024-00285,LTE carrier aggregation malfunction on Band 3 + Band 7 in West. PDCP layer buffer overflow caused by DRB misconfiguration after software patch HF-6588. 136432 high-value subscribers affected. ARPU impact estimated at $878K.,East,SD-WAN,P4-Low,43,Huawei,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-04-08T15:35:40,"VoLTE, Enterprise VPN, Voice Calls",Authentication Failure,27086,63,6
ALM-2023-00100,Incorrect ACL configuration pushed to 22 Huawei routers in East via automated provisioning. Management plane traffic blocked causing loss of visibility to 22 network elements. Emergency rollback executed via out-of-band console access.,West,MPLS,P4-Low,20,Nokia,Rolled back firmware to previous stable version 22.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-04-08T16:23:31,"Voice Calls, Video Streaming, VoLTE",Config Error,24010,53,5
ALM-2025-00427,X2 handover failures between East eNodeBs and neighboring cluster. Inter-eNB handover success rate dropped to 60%. Ping-pong handover storms observed. SON algorithm override required to stabilize mobility parameters.,South,5G-NR,P2-High,58,Juniper,Rolled back firmware to previous stable version 21.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-04-08T23:22:53,"Video Streaming, SMS, Voice Calls",Capacity Overload,108013,153,4
ALM-2023-00136,Power supply unit failure in North outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 300 hours caused site blackout. 43 collocated operators affected. TSSR dispatched for emergency repair.,North,Fiber,P4-Low,8,Ericsson,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-04-09T09:05:20,IoT Connectivity,Link Down,24983,18,2
ALM-2024-00271,Fiber cut on backbone ring between Central hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 421ms additional latency. 50 enterprise circuits and 114715 mobile subscribers affected on dependent transport.,East,5G-NR,P3-Medium,16,Cisco,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-04-10T17:00:56,VoLTE,Transport Failure,82512,31,5
ALM-2025-00414,Segment routing MPLS path computation failure in East SR-TE domain. PCE-server connectivity lost due to TLS certificate expiry. 37 critical traffic classes losing QoS guarantees. Enterprise SLA breached.,Central,Fiber,P1-Critical,144,Ericsson,Rolled back firmware to previous stable version 19.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-04-12T15:37:36,"SMS, VoLTE, Video Streaming",Transport Failure,12499,332,3
ALM-2025-00464,Uplink PRB utilization exceeding 90% on 19 cells in North during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 48%. Emergency capacity expansion through spectrum refarming initiated.,South,4G-LTE,P3-Medium,56,Cisco,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-04-15T10:55:36,"IoT Connectivity, Voice Calls",Transport Failure,94709,73,2
ALM-2024-00302,PTP/IEEE-1588 grandmaster clock failure in East synchronization hierarchy. Holdover mode activated on 21 slave clocks. Phase error accumulating at 61 ns/s. 5G NR TDD frame alignment at risk after 100 minutes without reference.,East,Fiber,P2-High,33,Nokia,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-04-22T11:41:10,Video Streaming,Authentication Failure,69473,89,7
ALM-2024-00290,Segment routing MPLS path computation failure in Central SR-TE domain. PCE-server connectivity lost due to TLS certificate expiry. 33 critical traffic classes losing QoS guarantees. Enterprise SLA breached.,East,Fiber,P2-High,132,Ericsson,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-04-25T11:31:03,"Data Sessions, Roaming Services",Transport Failure,86455,201,4
ALM-2024-00355,5G NR SA core network experiencing PDU session establishment failures in Central. UPF processing latency spiked to 325ms. Affected 22301 IoT devices unable to connect. SMF logs show session binding errors correlated with UPF software defect #SW-33071.,East,5G-NR,P4-Low,53,Nokia,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-04-25T15:24:31,Video Streaming,Software Bug,23962,137,3
ALM-2025-00402,CSFB (Circuit Switched Fallback) failure rate spike in Central — 71% failure observed. MSC-S unreachable from 17 eNodeBs due to SS7 link congestion. Voice call setup failure affected 124072 subscribers during peak hours.,West,Fiber,P1-Critical,203,Juniper,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-04-26T19:46:01,"SMS, Roaming Services, Enterprise VPN",Power Failure,102588,609,6
ALM-2023-00188,Multiple eNodeBs in North showing S1 interface failure after planned maintenance window. MME connection dropped across 13 sites. Cause: BGP route advertisement error on backhaul routers. Subscribers experiencing call drops and data session timeouts in the affected area.,Central,4G-LTE,P3-Medium,75,Ericsson,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-04-29T03:12:27,Video Streaming,Software Bug,34816,132,8
ALM-2023-00119,GNSS antenna failure on North primary timing reference. Backup BITS/SSU clock source activated. Stratum level degraded from 1 to 3. 12 dependent 5G sites at risk of air interface synchronization failure.,North,Fiber,P4-Low,57,Huawei,Applied emergency hotfix patch HF-8918 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2023-04-29T23:01:02,"Enterprise VPN, Voice Calls",Transport Failure,17101,95,5
ALM-2023-00074,Core network signaling storm from 30 IoT devices in West entering simultaneous TAU cycles. MME/AMF overloaded causing 46% attach rejection rate. Emergency rate limiting applied to prevent total core collapse.,West,3G-UMTS,P2-High,150,Huawei,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-05-03T23:03:23,"Emergency Services, Roaming Services",Config Error,73807,268,0
ALM-2024-00318,Submarine cable EDFA failure causing signal degradation on North international link. Capacity reduced from 375Gbps to 29Gbps. Traffic rerouted via alternate cable system with 417ms additional round-trip delay.,North,Fiber,P1-Critical,240,Cisco,Applied emergency hotfix patch HF-9558 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2023-05-05T05:50:20,IoT Connectivity,Power Failure,51429,473,5
ALM-2025-00493,Battery backup degradation on 49 North BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,West,Fiber,P2-High,22,Juniper,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 10 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 476 minutes.,2023-05-06T16:37:32,"SMS, Voice Calls",Power Failure,82090,55,2
ALM-2023-00096,GNSS antenna failure on North primary timing reference. Backup BITS/SSU clock source activated. Stratum level degraded from 1 to 3. 25 dependent 5G sites at risk of air interface synchronization failure.,South,MPLS,P2-High,43,Huawei,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-05-11T00:29:19,"Enterprise VPN, Emergency Services",Interference,104086,126,3
ALM-2023-00053,DWDM wavelength drift detected on East fiber span kilometer 105. OSNR degraded below threshold causing FEC errors to spike. Amplifier gain tilt compensation adjusted but optical power margin remains critically low.,Central,5G-NR,P4-Low,45,Cisco,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 11 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 446 minutes.,2023-05-11T01:21:22,Enterprise VPN,Interference,33438,82,4
ALM-2023-00187,Power supply unit failure in West outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 123 hours caused site blackout. 40 collocated operators affected. TSSR dispatched for emergency repair.,East,Fiber,P1-Critical,146,Juniper,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-05-12T00:27:47,IoT Connectivity,Authentication Failure,19187,265,0
ALM-2023-00158,LTE PDCP integrity protection mismatch on Nokia eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 39 cells impacted in North. Hotfix deployment required to restore normal operations.,North,MPLS,P3-Medium,78,Huawei,Applied emergency hotfix patch HF-8214 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2023-05-12T03:14:28,"Emergency Services, SMS, Video Streaming",Sync Loss,99352,207,7
ALM-2024-00394,Uplink PRB utilization exceeding 90% on 15 cells in East during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 49%. Emergency capacity expansion through spectrum refarming initiated.,South,3G-UMTS,P1-Critical,112,Ericsson,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-05-12T23:27:44,"IoT Connectivity, SMS, Voice Calls",Software Bug,57174,272,0
